crime_rate,target
0.7857,30.7
0.0459,22.3
0.32264,17.4
2.01019,50.0
0.03551,22.9
0.2896,19.7
3.53501,15.6
8.98296,17.8
15.8744,10.9
0.21038,35.1
0.38735,15.7
0.01381,50.0
0.76162,22.8
3.1636,19.9
0.1396,20.1
2.14918,19.4
0.06129,46.0
5.29305,23.2
0.38214,37.6
13.5222,23.1
0.84054,13.9
0.04011,33.3
0.01951,33.0
0.62739,19.9
0.14103,20.3
9.2323,50.0
0.26363,19.4
0.03427,19.5
0.49298,22.8
0.67191,16.6
0.10153,20.0
0.15936,24.7
0.03578,45.4
0.03237,33.4
7.83932,21.4
0.21977,19.4
67.9208,5.0
22.5971,7.4
0.11132,20.1
1.13081,12.7
0.07165,20.3
10.0623,14.1
0.17134,18.3
4.34879,19.9
0.0456,23.3
0.55007,36.5
0.43571,20.0
0.31827,17.8
20.0849,8.8
0.02731,21.6
0.26938,21.6
1.23247,15.2
0.24522,19.8
0.47547,21.0
0.14455,27.1
0.22438,16.8
1.62864,14.4
0.05188,22.5
0.07244,18.6
0.10612,20.1
4.03841,19.6
0.19802,25.0
0.13554,17.4
0.08873,19.7
38.3518,5.0
28.6558,16.3
2.44668,13.1
0.08221,29.6
8.71675,13.1
15.5757,19.1
9.59571,12.1
3.8497,21.7
0.04819,21.9
0.10469,33.2
0.06642,29.9
0.03705,35.4
6.96215,15.1
0.51183,31.5
0.15876,21.7
4.81213,16.4
0.88125,14.3
2.77974,11.8
9.32909,14.1
0.03961,21.1
0.32982,18.4
0.0351,48.5
8.64476,13.8
0.03548,20.9
0.09164,22.8
5.87205,12.5
0.33045,24.0
0.08014,21.0
