Loan_ID,Gender,Dependents,Self_Employed,Applicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Status
CL_87803,0,1,1,3918.59,105016.1508,4,0,Reject
CL_213727,0,2,0,3587.33,79242.38497,6,0,Approve
CL_896483,1,3,0,2496.96,38154.20546,2,0,Reject
CL_415789,1,2,0,2936.81,76810.37079,11,0,Reject
CL_500607,1,3,0,3010.54,37880.23133,2,0,Reject
CL_903975,1,2,1,3016.47,88088.19435,12,1,Approve
CL_541077,0,3,0,2291.24,39395.9273,4,1,Approve
CL_947892,1,2,0,3285.83,71193.25908,9,0,Approve
CL_603442,1,4,0,4958.37,117486.5912,7,1,Approve
CL_917698,1,1,0,2320.61,47700.3103,3,1,Approve
CL_887811,0,3,0,4989.58,131686.5069,4,1,Approve
CL_300092,0,1,0,3680.88,77685.5367,6,1,Approve
CL_141929,0,3,0,4560.32,130513.9713,24,1,Approve
CL_573950,1,2,1,2007.91,59889.27573,8,0,Reject
CL_759429,1,4,0,3981.1,119523.4354,5,0,Reject
CL_476749,0,4,0,2028.01,48533.85885,5,1,Approve
CL_782827,1,1,0,2217.08,66866.80581,4,1,Approve
CL_499493,0,2,0,3760.81,84908.48413,19,1,Approve
CL_238404,0,3,0,4514.02,76529.11448,14,1,Approve
CL_617278,1,3,0,2040.61,31177.77166,6,0,Approve
CL_11215,1,2,0,3812.09,63266.48775,2,1,Approve
CL_232826,1,2,0,2501.22,51513.52418,9,0,Approve
CL_195179,0,3,0,3216.9,84236.80173,5,1,Approve
CL_836208,1,0,1,3522.55,48214.57293,11,1,Approve
CL_217118,1,2,0,2640.76,55510.89826,18,0,Reject
CL_528234,1,3,0,3219.74,84763.33787,4,1,Approve
CL_622662,0,0,0,4981.52,152243.6494,8,0,Reject
CL_472747,0,2,0,4335.15,66629.92644,13,1,Approve
CL_25970,0,2,0,2828.57,76752.77214,23,1,Approve
CL_614442,0,1,1,4815.7,78964.08433,7,0,Reject
CL_180658,1,3,0,3609.78,81224.41441,5,0,Approve
CL_277540,1,3,0,4206.21,99765.73274,20,1,Approve
CL_561724,1,0,0,4573.7,70716.99385,6,1,Reject
CL_175020,1,3,1,2096.41,33737.56436,4,0,Approve
CL_24082,1,1,1,2552.53,63129.23548,4,0,Reject
CL_730155,1,2,0,2377.62,64639.16484,11,0,Reject
CL_401939,0,1,0,4461.3,90810.78956,3,0,Reject
CL_321439,1,3,0,4170.65,62907.75679,3,0,Reject
CL_897356,1,4,0,3305,78944.81179,20,0,Approve
